sn,id,name,domain_name
295,061311,私立嘉陽高中,cysh.tc.edu.tw
296,061313,私立明道高中,mingdao.edu.tw
297,061314,私立僑泰高中,ctas.tc.edu.tw
298,061315,私立華盛頓高中,whs.tc.edu.tw
299,061316,私立青年高中,youth.tc.edu.tw
300,061317,私立弘文高中,hwhs.tc.edu.tw
301,061318,私立立人高中,lzsh.tc.edu.tw
302,061319,私立玉山高中,yssh.tc.edu.tw
303,061321,私立慈明高中,tmhs.tc.edu.tw
304,063303,市立大甲高中,djsh.tc.edu.tw
305,063305,市立清水高中,cshs.tc.edu.tw
306,063312,市立豐原高中,fysh.tc.edu.tw
307,064308,市立后綜高中,hzsh.tc.edu.tw
308,064324,市立大里高中,dlsh.tc.edu.tw
309,064328,市立新社高中,sshs.tc.edu.tw
310,064336,市立長億高中,cyhs.tc.edu.tw
311,064342,市立中港高中,cgsh.tc.edu.tw
312,064350,市立龍津高中,ljjhs.tc.edu.tw
313,070301,國立彰化女中,chgsh.chc.edu.tw
314,070304,國立員林高中,ylsh.chc.edu.tw
315,070307,國立彰化高中,chsh.chc.edu.tw
316,070316,國立鹿港高中,lksh.chc.edu.tw
317,070319,國立溪湖高中,hhsh.chc.edu.tw
318,071311,私立精誠高中,cchs.chc.edu.tw
319,071317,私立文興高中,hshs.chc.edu.tw
320,071318,財團法人正德高中,zdvs.chc.edu.tw
321,074308,縣立彰化藝術高中,chash.chc.edu.tw
322,074313,縣立二林高中,elsh.chc.edu.tw
323,074323,縣立和美高中,hmjh.chc.edu.tw
324,074328,縣立田中高中,tcjh.chc.edu.tw
325,074339,縣立成功高中,cksh.chc.edu.tw
326,080302,國立南投高中,ntsh.ntct.edu.tw
327,080305,國立中興高中,chsh.ntct.edu.tw
328,080307,國立竹山高中,cshs.ntct.edu.tw
329,081311,私立五育高中,wu-yu.ntct.edu.tw
330,081312,私立三育高中,taa.ntct.edu.tw
331,084309,縣立旭光高中,skjhs.ntct.edu.tw
332,090305,國立斗六高中,tlsh.ylc.edu.tw
333,090306,國立北港高中,pksh.ylc.edu.tw
334,090315,國立虎尾高中,hwsh.ylc.edu.tw
335,091307,私立永年高中,ynhs.ylc.edu.tw
336,091308,私立正心高中,shsh.ylc.edu.tw
337,091311,私立文生高中,svsh.ylc.edu.tw
338,091312,私立巨人高中,tssh.ylc.edu.tw
339,091316,私立揚子高中,ytjh.ylc.edu.tw
340,091318,財團法人義峰高中,yfsh.ylc.edu.tw
341,091319,福智高中,bwjh.ylc.edu.tw
342,091320,雲林縣維多利亞實驗高中,victoria.ylc.edu.tw
343,094301,縣立斗南高中,tnjh.ylc.edu.tw
344,094307,縣立麥寮高中,mljh.ylc.edu.tw
345,094308,縣立古坑華德福實驗高級中學,gwehs.ylc.edu.tw
346,094326,縣立蔦松藝術高中,nsjh.ylc.edu.tw
347,100301,國立東石高中,tssh.cyc.edu.tw
348,100302,國立新港藝術高中,sgash.cyc.edu.tw
349,100303,國立嘉科實驗高中籌備處,nehs.cyc.edu.tw
350,101303,私立同濟高中,tjsh.cyc.edu.tw
351,101304,私立協同高中,cmsh.cyc.edu.tw
352,104319,縣立竹崎高中,ccjh.cyc.edu.tw
353,104326,縣立永慶高中,ycsh.cyc.edu.tw
354,110302,國立新豐高中,sfsh.tn.edu.tw
355,110311,國立北門高中,bmsh.tn.edu.tw
356,110312,國立新營高中,hysh.tn.edu.tw
357,110314,國立後壁高中,hpsh.tn.edu.tw
358,110315,國立善化高中,shsh.tn.edu.tw
359,110317,國立新化高中,hhsh.tn.edu.tw
360,110328,國立南科國際實驗高中,nnkieh.tn.edu.tw
361,111313,私立南光高中,nkhs.tn.edu.tw
362,111320,私立港明高中,kmsh.tn.edu.tw
363,111321,臺南市興國高中,hkhs.tn.edu.tw
364,111322,私立明達高中,mdsh.tn.edu.tw
365,111323,私立黎明高中,lmsh.tn.edu.tw
